Record Number,Name,Core ID,Code,Type,Status,Holder,Grant date,Expiry date,Cadastral units (CU),Area (km²),States,LGAs,Minerals
222,KWANDE,38397,EL-038397,Exploration License,Valid,CENKATT LIMITED,25/08/2022,24/08/2025,180,38.18,Benue,Kwande,Gold
223,LOGO,39680,SSML-039680,Small Scale Mining Lease,Blocked,AKSHAYA LIMITED,11/11/2022,10/11/2027,1,0.21,Benue,Logo,Lead
224,KWANDE,59957,SSML-059957,Small Scale Mining Lease,Valid,CENKATT LIMITED,24/05/2024,23/05/2029,15,3.18,Benue,Kwande,"Lead,Lithium,Zinc,Gold"
225,yala,61315,SSML-061315,Small Scale Mining Lease,Valid,METRALLIUM MINING LTD,23/10/2024,22/10/2029,15,3.18,"Benue, Cross River","Konshisha, Yala","Lead,Zinc,Baryte"
226,YALA,38564,SSML-038564,Small Scale Mining Lease,Blocked,PRINCETON MINING & CIVIL ENGINEERING LTD,16/08/2022,15/08/2027,3,0.64,"Benue, Cross River","Konshisha, Yala","Lead,Lithium,Zinc"
227,YALA,38437,SSML-038437,Small Scale Mining Lease,Blocked,UBONG ISRAEL UBOH,16/08/2022,15/08/2027,15,3.18,"Benue, Cross River","Konshisha, Yala","Lithium,Tourmaline (blue),Galena,Baryte"
228,,26638,EL-026638,Exploration License,Released,FIRST PATRIOT LTD,18/12/2017,17/12/2024,192,40.72,"Benue, Cross River","Oju, Yala","Copper,Lead,Silver,Zinc,Galena"
229,0LAMABORO/OHIMINI,63587,EL-063587,Exploration License,Valid,DAVOSACH INVESTMENT & RESOURCE LIMITED,15/11/2024,14/11/2027,67,14.2,"Benue, Kogi","Ohimini, Olamaboro","Graphite,Iron"
230,ANKPA,62900,SSML-062900,Small Scale Mining Lease,Valid,NUR-KAREEM ENERGY (NIG) LTD,30/10/2024,29/10/2029,2,0.42,"Benue, Kogi","Apa, Ankpa",Clay
231,,33925,EL-033925,Exploration License,Released,IBRA PETROLEUM AND PETROCHEMICALS LIMITED,12/05/2021,11/05/2024,155,32.81,"Benue, Kogi","Agatu, Omala",Coal
232,"GUMA, BENUE STATE",61165,EL-061165,Exploration License,Valid,JADA MINERALS CO LTD,09/08/2024,08/08/2027,88,18.61,"Benue, Nassarawa","Guma, Keana","Copper,Lead,Zinc"
233,,10926,EL-010926,Exploration License,Released,PHIPAT EXPLORATION LIMITED,19/04/2011,18/04/2014,575,121.68,"Benue, Nassarawa","Guma, Makurdi, Doma","Tantalum,Iron"
234,,27042,EL-027042,Exploration License,Released,XIANG HUI INTERNATIONAL MINING NIG. CO. LIMITED,24/04/2018,23/04/2023,94,19.89,"Benue, Taraba","Logo, Wukari","Lead,Zinc"
235,KWANDE/TAKUM,61631,EL-061631,Exploration License,Valid,EARTH WISH NIGERIA LIMITED,26/08/2024,25/08/2027,204,43.26,"Benue, Taraba","Kwande, Ussa","Ilmenite,Iron"
236,,34047,SSML-034047,Small Scale Mining Lease,Blocked,NEWBURY MINERAL RESOURCES LTD,06/07/2021,05/07/2026,5,1.06,"Benue, Taraba","Logo, Wukari","Lead,Zinc"
237,,34044,SSML-034044,Small Scale Mining Lease,Blocked,NEWBURY MINERAL RESOURCES LTD,13/07/2021,12/07/2026,5,1.06,"Benue, Taraba","Logo, Wukari","Lead,Zinc"
238,,8047,QLS-008047,Quarry Lease,Blocked,EMDEE INVESTMENT LIMITED,18/05/2010,17/10/2025,1,0.21,Borno,Kwaya-Kusar,Granite
239,,28307,SSML-028307,Small Scale Mining Lease,Released,SHAMNAS MINING MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,07/12/2018,06/12/2023,2,0.42,Borno,Bayo,"Mica,Tantalum,Tin,Beryl,Columbite"
240,BORNU,63326,QLS-063326,Quarry Lease,Valid,ZEPHYR-GOLD INTERNATIONAL LIMITED,10/12/2024,09/12/2029,4,0.84,Borno,Askira/Uba,Granite
241,,33183,EL-033183,Exploration License,Released,IBETO CEMENT COMPANY LIMITED,15/02/2021,14/02/2024,317,67.42,Cross River,"Akamkpa, Biase",Limestone
242,Biase,61339,EL-061339,Exploration License,Valid,DESCHATZE LIMITED,13/06/2024,12/06/2027,132,28.06,Cross River,Akamkpa,"Lithium,Beryl,Tourmaline (green),Gold"
243,AKAMKPA,38426,SSML-038426,Small Scale Mining Lease,Valid,KEDIT ANDREW HIGH SCHOOL NIG. LTD,02/08/2022,01/08/2027,5,1.06,Cross River,Akamkpa,Iron
244,CROSS-RIVER,61434,EL-061434,Exploration License,Valid,PARKA OIL & GAS LIMITED,15/10/2024,14/10/2027,98,20.84,Cross River,Akamkpa,Manganese
245,OBUBRA,61466,SSML-061466,Small Scale Mining Lease,Valid,CORNERSTONE MINING SERVICES LTD,30/10/2024,29/10/2029,5,1.06,Cross River,Obubra,"Clay,Laterite,Copper"
246,AKAMKPA,62896,SSML-062896,Small Scale Mining Lease,Valid,UGBABE-ENWE CONSULT LTD,15/10/2024,14/10/2029,2,0.43,Cross River,Akamkpa,"Mica,Silver,Gold,Ilmenite"
247,Biase,61341,EL-061341,Exploration License,Valid,DESCHATZE LIMITED,09/08/2024,08/08/2027,35,7.44,Cross River,Akamkpa,"Lithium,Tourmaline (green),Gold"
248,OBUBRA,63008,SSML-063008,Small Scale Mining Lease,Valid,PASCHUGOJOY ENTERPRISES NIG,15/11/2024,14/11/2029,2,0.42,Cross River,Obubra,"Mica,Lithium,Tantalum,Amethyst,Tourmaline (others)"
249,BOKI,61700,SSML-061700,Small Scale Mining Lease,Valid,WATECO GLOBAL CONCEPT LIMITED,15/10/2024,14/10/2029,15,3.18,Cross River,Boki,"Tourmaline (blue),Gold"
250,AKAMKPA,62054,QLS-062054,Quarry Lease,Valid,WIZCHINO ENGINEERING LIMITED,06/11/2024,05/11/2029,1,0.21,Cross River,Akamkpa,Granite
251,,35935,EL-035935,Exploration License,Valid,GRIT INDUSTRIES LIMITED,22/05/2023,21/05/2026,644,136.94,Cross River,"Akamkpa, Biase",Limestone
252,,33323,QLS-033323,Quarry Lease,Valid,WASINI GLOBAL SERVICES LTD,02/02/2021,01/02/2026,6,1.28,Cross River,Akamkpa,Granite
253,,643,ML-000643,Mining Lease,Valid,LAFARGE AFRICA PLC,01/01/2005,20/02/2030,237,50.42,Cross River,Akamkpa,Limestone
254,AKAMKPA,59304,SSML-059304,Small Scale Mining Lease,Valid,GOOD LAND CAPITAL PARTNERS LIMITED,13/06/2024,12/06/2029,3,0.64,Cross River,Akamkpa,"Lithium,Tourmaline (others)"
255,AKAMKPA,58428,QLS-058428,Quarry Lease,Valid,J.M.K CONSTRUCTION COMPANY LIMITED,24/05/2024,23/05/2029,3,0.64,Cross River,Akamkpa,Granite
