Record Number,Name,Core ID,Code,Type,Status,Holder,Grant date,Expiry date,Cadastral units (CU),Area (km²),States,LGAs,Minerals
413,,30764,ML-030764,Mining Lease,Blocked,LAND MARK MINING NIGERIA LTD,08/01/2020,07/01/2045,155,32.75,Fct,Kuje,Gold
414,,30160,QLS-030160,Quarry Lease,Blocked,BECCA'S GLOBAL CONSULT LIMITED,04/11/2019,03/11/2029,4,0.84,Fct,Abuja,"Dolomite,Granite"
415,,34928,QLS-034928,Quarry Lease,Blocked,JOHN BAWA INNOVATIONS NIGERIA LIMITED,07/07/2021,06/07/2026,4,0.84,Fct,Bwari,Granite
416,,33952,EL-033952,Exploration License,Released,TRANSREGIONAL ENERGY LTD,25/06/2021,24/06/2024,210,44.41,Fct,Kwali,Gold
417,,35635,QLS-035635,Quarry Lease,Blocked,GEMSTONE EXPLORATION LIMITED,18/07/2023,17/07/2028,4,0.84,Fct,Bwari,Granite
418,,31433,QLS-031433,Quarry Lease,Blocked,PROSSY INVESTMENTS LIMITED,29/07/2020,28/07/2025,4,0.84,Fct,Bwari,Granite
419,,31984,QLS-031984,Quarry Lease,Blocked,SANDPLEX INTERNATIONAL LIMITED,25/09/2020,24/09/2025,12,2.53,Fct,Bwari,Granite
420,,28586,SSML-028586,Small Scale Mining Lease,Released,MAILALLE NIGERIA LIMITED,14/12/2018,13/12/2023,5,1.06,Fct,Kuje,Sand
421,Bwari,35986,QLS-035986,Quarry Lease,Blocked,MUTUAL COMMITMENT COMPANY LIMITED,17/02/2022,16/02/2027,19,4.01,Fct,Bwari,Granite
422,,31183,QLS-031183,Quarry Lease,Valid,MANOR STAR LOGISTICS LIMITED,21/08/2020,20/08/2025,4,0.85,Fct,Kuje,Granite
423,,8240,QLS-008240,Quarry Lease,Valid,INORGANIC EARTH RESOURCES LIMITED,02/07/2010,01/07/2025,5,1.06,Fct,Abuja,Granite
424,,33242,SSML-033242,Small Scale Mining Lease,Valid,LAMAR BUSINESS EMPIRE LTD,06/05/2022,05/05/2027,4,0.85,Fct,Kuje,"Tantalum,Tin,Gold"
425,KUJE,44921,SSML-044921,Small Scale Mining Lease,Valid,MUBRAJ CONCEPTS,29/02/2024,28/02/2029,4,0.84,Fct,Kuje,Kunzite
426,,25026,QLS-025026,Quarry Lease,Blocked,GOLDMOND LIMITED,17/03/2017,16/03/2027,4,0.84,Fct,Abuja,Granite
427,GWAGWALADA,61320,EL-061320,Exploration License,Valid,FRESHFIELD ENVIRONMENTAL SERVICES LTD,09/08/2024,08/08/2027,144,30.41,Fct,Gwagwalada,Gold
428,"GWAGWALADA, FCT",54088,EL-054088,Exploration License,Valid,TANGJI MINING COMPANY LIMITED,13/11/2024,12/11/2027,98,20.7,Fct,"Abuja, Gwagwalada","Tin,Gold"
429,,31194,EL-031194,Exploration License,Released,HASETINS COMMODITIES LTD,29/07/2020,28/07/2023,73,15.4,"Fct, Kaduna","Bwari, Kagarko","Tin,Columbite,Gold"
430,,34270,EL-034270,Exploration License,Blocked,VERILAND MINING COMPANY NIGERIA LIMITED,12/08/2021,11/08/2024,190,40.08,"Fct, Kaduna","Bwari, Kagarko",Gold
431,,14156,QLS-014156,Quarry Lease,Blocked,A. A. Y QUARRY LTD,03/04/2014,02/04/2024,4,0.84,"Fct, Kaduna","Bwari, Kagarko",Granite
432,,34572,EL-034572,Exploration License,Blocked,VIVA JUNIPER VENTURES LTD,13/07/2021,12/07/2024,88,18.61,"Fct, Nassarawa","Kuje, Toto",Tantalum
433,KARU,39367,SSML-039367,Small Scale Mining Lease,Blocked,IDRIS OLUREMI RAZAQ OLATUNJI,09/05/2022,08/05/2027,15,3.17,"Fct, Nassarawa","Abuja, Karu",Gold
434,TAFA,40162,QLS-040162,Quarry Lease,Blocked,DELVI GALAXY MINERS LIMITED,11/11/2022,10/11/2027,4,0.84,"Fct, Niger","Bwari, Tafa",Granite
435,KWAMI,39657,SSML-039657,Small Scale Mining Lease,Blocked,B-KLASSE AFRIWORKS LIMITED,18/11/2022,17/11/2027,5,1.05,Gombe,Kwami,Sand
436,AKKO,39653,SSML-039653,Small Scale Mining Lease,Blocked,ABDULLAHI AHMADU ALHAJI,18/11/2022,17/11/2027,5,1.05,Gombe,Akko,"Limestone,Coal"
437,,32693,EL-032693,Exploration License,Released,BLESSED GLOBAL INTERGRATED MINERS LIMITED,06/11/2020,05/11/2023,200,42.17,Gombe,"Billiri, Shongom",Kaoline
438,BILLIRI,62536,EL-062536,Exploration License,Valid,RESIDENT CEMENT COMPANY LIMITED,23/10/2024,22/10/2027,59,12.43,Gombe,Billiri,"Gypsum,Tantalum,Tin,Monazite"
439,YAMALTU/DEBA,38367,SSML-038367,Small Scale Mining Lease,Valid,DAMORI YUSUF MUHAMMAD,16/08/2022,15/08/2027,2,0.42,Gombe,Akko,"Laterite,Sand"
440,DUKKU,61191,SSML-061191,Small Scale Mining Lease,Valid,LAUSHI PRESTIGE INDUSTRIAL SOLUTIONS LTD,23/10/2024,22/10/2029,5,1.05,Gombe,Dukku,Kaoline
441,BALANGE,61520,SSML-061520,Small Scale Mining Lease,Valid,ISJA MINING LIMITED,30/10/2024,29/10/2029,15,3.16,Gombe,"Balanga, Kaltungo","Mica,Lithium,Aquamarine,Tourmaline (others),Sapphire"
442,,34204,EL-034204,Exploration License,Released,GEO-SYSTEMATIC MINE LTD,23/04/2021,22/04/2024,80,16.85,Gombe,Akko,Coal
443,,29767,SSML-029767,Small Scale Mining Lease,Valid,COMMODITY PRODUCTION & EXCHANGE CENTRE LTD,29/08/2019,28/08/2029,2,0.42,Gombe,"Akko, Gombe","Granite,Fluorspar/fluorite"
444,BAYO,61958,EL-061958,Exploration License,Valid,GOLDEN JEWEL TRADE VENTURES LTD,15/10/2024,14/10/2027,104,21.9,Gombe,Yamaltu/Deba,"Gypsum,Limestone"
445,AKKO,62537,EL-062537,Exploration License,Valid,RESIDENT CEMENT COMPANY LIMITED,23/10/2024,22/10/2027,92,19.38,Gombe,"Akko, Billiri","Gypsum,Tantalum,Tin,Coal,Monazite"
446,,34247,EL-034247,Exploration License,Valid,MADUGU CEMENT FACTORY LTD,12/05/2021,11/05/2026,320,67.41,Gombe,Akko,"Gypsum,Limestone,Fluorspar/fluorite"
447,,35542,EL-035542,Exploration License,Valid,FERGO CEMENT COY LIMITED,15/10/2021,14/10/2026,100,21.08,Gombe,Billiri,Limestone
448,,28964,EL-028964,Exploration License,Valid,HALLMARK EXPLORATION LIMITED,14/02/2019,13/02/2026,144,30.33,Gombe,Akko,"Gypsum,Limestone,Lead,Zinc"
449,OWERRI WEST,54376,SSML-054376,Small Scale Mining Lease,Valid,JOSEPH NOBLE KELECHI,07/05/2024,06/05/2029,4,0.85,Imo,Owerri West,Sand
450,OWERRI WEST,44090,SSML-044090,Small Scale Mining Lease,Valid,OKOYE HYACINTH ODILUO,25/05/2023,24/05/2028,1,0.21,Imo,Owerri West,Sand
451,Isiala Mbano,37102,SSML-037102,Small Scale Mining Lease,Valid,UKACHUKWU ANTHONY,27/09/2022,26/09/2027,3,0.64,Imo,Isiala Mbano,Sand
452,EHIME MBANO L.G.A,61647,SSML-061647,Small Scale Mining Lease,Valid,KINGSLEY DIMAKU,06/11/2024,05/11/2029,3,0.64,Imo,Isiala Mbano,"Laterite,Sand"
453,jigawa,38145,SSML-038145,Small Scale Mining Lease,Blocked,BULI MINING COMPANY LIMITED,16/08/2022,15/08/2027,4,0.84,Jigawa,Gwaram,"Lithium,Tin,Ilmenite"
454,GWARAM,38052,SSML-038052,Small Scale Mining Lease,Blocked,JIGAWA GEO SERVICE LTD,18/08/2022,17/08/2027,5,1.05,Jigawa,Gwaram,Cassiterite
455,BADORI KAZAURE JIGAWA,63488,QLS-063488,Quarry Lease,Valid,MOTA-ENGIL NIGERIA LTD,06/11/2024,05/11/2029,2,0.42,Jigawa,Kazaure,Laterite
456,,29242,SSML-029242,Small Scale Mining Lease,Released,TRUE-RUN AND MANAGEMENT CONSULTANTS LTD,23/05/2019,22/05/2024,5,1.04,Jigawa,"Gwiwa, Roni",Bauxite
457,BIRNIN KUDU,62183,SSML-062183,Small Scale Mining Lease,Valid,VALUE MINES LIMITED,23/10/2024,22/10/2029,15,3.14,Jigawa,Birnin-Kudu,"Cassiterite,Columbite,Ilmenite,Monazite,Zircon sand"
458,GWARAM,38050,SSML-038050,Small Scale Mining Lease,Blocked,JIGAWA GEO SERVICE LTD,16/08/2022,15/08/2027,5,1.05,Jigawa,Gwaram,Cassiterite
459,GUNUWA RONI JIGAWA,63480,QLS-063480,Quarry Lease,Valid,MOTA-ENGIL NIGERIA LTD,06/11/2024,05/11/2029,1,0.21,Jigawa,Roni,Laterite
460,ACHILAFIA YANKWASHI JIGAWA,63479,QLS-063479,Quarry Lease,Valid,MOTA-ENGIL NIGERIA LTD,30/10/2024,29/10/2029,2,0.42,Jigawa,Yankwashi,Laterite
461,ZUGAI RONI JIGAWA,63478,QLS-063478,Quarry Lease,Valid,MOTA-ENGIL NIGERIA LTD,06/11/2024,05/11/2029,2,0.42,Jigawa,Roni,Laterite
462,KAKAU KACHI WARWADE DUTSE JIGAWA,63477,QLS-063477,Quarry Lease,Valid,MOTA-ENGIL NIGERIA LTD,30/10/2024,29/10/2029,2,0.42,Jigawa,Dutse,Laterite
463,GWARAM,63436,EL-063436,Exploration License,Valid,APEX MINES NIG. LTD,23/10/2024,22/10/2027,100,20.97,Jigawa,Gwaram,"Ilmenite,Monazite,Zircon sand"
464,GWIWA,40888,QLS-040888,Quarry Lease,Blocked,CHINA COMMUNICATIONS CONSTRUCTION COMPANY NIGERIA LIMITED,18/11/2022,17/11/2027,4,0.83,Jigawa,Gwiwa,Granite
465,BIRNIN KUDU,62185,SSML-062185,Small Scale Mining Lease,Valid,VALUE MINES LIMITED,15/10/2024,14/10/2029,4,0.84,Jigawa,Birnin-Kudu,"Cassiterite,Columbite,Ilmenite,Monazite,Zircon sand"
466,DUNDIBUS DUTSE JIGAWA,63462,QLS-063462,Quarry Lease,Valid,MOTA-ENGIL NIGERIA LTD,30/10/2024,29/10/2029,2,0.42,Jigawa,Dutse,Laterite
467,GWARAM,38053,SSML-038053,Small Scale Mining Lease,Blocked,JIGAWA GEO SERVICE LTD,16/08/2022,15/08/2027,5,1.05,Jigawa,Gwaram,"Lead,Zinc"
468,BIRNIN KUDU,62709,SSML-062709,Small Scale Mining Lease,Valid,BADETOK INFINITE GRAND RESOURES LIMITED,30/10/2024,29/10/2029,4,0.84,Jigawa,Birnin-Kudu,"Tin,Columbite,Ilmenite,Zircon sand"
469,BIRNIN KUDU,62710,EL-062710,Exploration License,Valid,BADETOK INFINITE GRAND RESOURES LIMITED,30/10/2024,29/10/2027,56,11.73,Jigawa,Birnin-Kudu,"Tin,Columbite,Ilmenite,Zircon sand"
470,GWIWA,39399,QLS-039399,Quarry Lease,Blocked,FYA AND BROTHERS LIMITED,11/11/2022,10/11/2027,4,0.83,Jigawa,Gwiwa,Granite
471,BIRNIN KUDU,37748,QLS-037748,Quarry Lease,Valid,GREAT NORTHERN AGRIBUSINESS LTD,09/06/2022,08/06/2027,5,1.05,Jigawa,Birnin-Kudu,Sand
472,DUTSE,39262,QLS-039262,Quarry Lease,Valid,GREAT NORTHERN AGRIBUSINESS LTD,26/10/2022,25/10/2027,3,0.63,Jigawa,Dutse,Granite
473,,63179,EL-063179,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,"Jaba, Jemaa","Lithium,Tantalum,Tin,Gold"
474,,63180,EL-063180,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,Jemaa,"Lithium,Tantalum,Columbite,Gold"
475,Kachia,61572,EL-061572,Exploration License,Valid,STALK-STOCK CONTINENTAL TRADING LIMITED,15/10/2024,14/10/2027,112,23.6,Kaduna,Kachia,Bauxite
476,,29860,SSML-029860,Small Scale Mining Lease,Released,ALHIDAB NIG LTD,29/08/2019,28/08/2024,3,0.63,Kaduna,Igabi,Laterite
477,,63181,EL-063181,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,Jemaa,"Lithium,Tantalum,Tin,Gold"
478,KACHIA,62744,SSML-062744,Small Scale Mining Lease,Valid,BAPPAYI MINING AND INVESTMENT LIMITED,26/08/2024,25/08/2029,2,0.42,Kaduna,Kachia,"Mica,Lithium,Fluorspar/fluorite,Cassiterite,Gold,Ilmenite,Monazite"
479,Jaba,61326,SSML-061326,Small Scale Mining Lease,Valid,BIDO COMMERCIAL LIMITED,31/07/2024,30/07/2029,9,1.9,Kaduna,Jaba,"Copper,Lithium,Tantalum,Tin,Tourmaline (blue),Gold"
480,,25189,EL-025189,Exploration License,Released,TOPWIDE VENTURES LTD,14/06/2017,13/06/2022,144,30.37,Kaduna,Anga,"Tantalum,Tin,Gemstone"
481,,63152,EL-063152,Exploration License,Valid,TIAN XING INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,Jemaa,"Lithium,Tin,Cassiterite,Columbite"
482,,29675,EL-029675,Exploration License,Valid,AL-MASA'U NIGERIA LTD,06/06/2019,05/06/2026,130,27.29,Kaduna,Birnin-Gwari,"Lead,Manganese,Zinc,Graphite,Gold"
483,IGABI,59307,EL-059307,Exploration License,Valid,LAPIDIARY MINES LTD,30/04/2024,29/04/2027,56,11.75,Kaduna,Igabi,Monazite
484,,32706,EL-032706,Exploration License,Valid,MONAI SWAT INVESTMENT LTD,10/09/2021,09/09/2024,161,33.93,Kaduna,Jemaa,"Aquamarine,Emeralds,Ruby,Sapphire"
485,,63178,EL-063178,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,Jemaa,"Lithium,Tantalum,Tin,Gold"
486,,63177,EL-063177,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,"Jaba, Jemaa","Lithium,Tantalum,Cassiterite,Gold"
487,IGABI,62115,EL-062115,Exploration License,Valid,BAPPAYI MINING AND INVESTMENT LIMITED,26/08/2024,25/08/2027,34,7.14,Kaduna,Igabi,"Mica,Lithium,Fluorspar/fluorite,Cassiterite,Gold,Ilmenite,Monazite"
488,,63153,EL-063153,Exploration License,Valid,TIAN XING INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,Jemaa,"Lithium,Tantalum,Tin"
489,,62167,SSML-062167,Small Scale Mining Lease,Valid,AGUBUSI MINES LTD,26/08/2024,25/08/2029,15,3.16,Kaduna,Chikun,"Mica,Lithium"
490,,63154,EL-063154,Exploration License,Valid,TIAN XING INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,Jemaa,"Lithium,Tantalum,Tin,Gold"
491,,63176,EL-063176,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,"Jaba, Jemaa","Lithium,Tantalum,Tin,Cassiterite"
492,JABA,54550,EL-054550,Exploration License,Valid,TRANSITION MINERALS INTERNATIONAL LTD,11/10/2023,10/10/2026,172,36.25,Kaduna,"Jaba, Kagarko","Mica,Nickel,Tin,Columbite"
493,,29721,EL-029721,Exploration License,Released,E-RESOURCES NIGERIA NEW ENERGY TECHNOLOGY LIMITED,18/07/2019,17/07/2024,517,108.99,Kaduna,"Jaba, Jemaa","Mica,Tin,Columbite"
494,,29716,EL-029716,Exploration License,Released,E-RESOURCES NIGERIA NEW ENERGY TECHNOLOGY LIMITED,18/07/2019,17/07/2024,438,92.33,Kaduna,Jemaa,"Mica,Tin,Columbite"
495,MAKARFI,61189,SSML-061189,Small Scale Mining Lease,Valid,DIVINE AUSTINE INT'L VENTURES LIMITED,26/08/2024,25/08/2029,4,0.84,Kaduna,Makarfi,"Mica,Lithium,Tourmaline (blue),Ilmenite"
496,IKARA,63121,SSML-063121,Small Scale Mining Lease,Valid,BAKABTI RESOURCES LTD,23/10/2024,22/10/2029,4,0.84,Kaduna,Ikara,"Lead,Zinc,Amethyst,Aquamarine,Beryl,Baryte"
497,,63155,EL-063155,Exploration License,Valid,TIAN XING INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,66,13.91,Kaduna,"Jemaa, Anga","Lithium,Tantalum,Tin,Gold"
498,,26259,SSML-026259,Small Scale Mining Lease,Released,MOHAMMADU NAZIR ISAH,24/11/2017,23/11/2022,2,0.42,Kaduna,Igabi,Sand
499,,63157,EL-063157,Exploration License,Valid,TIAN XING INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,57,12.02,Kaduna,Anga,"Lithium,Tantalum,Tin,Cassiterite,Gold"
500,,28436,SSML-028436,Small Scale Mining Lease,Released,IBRAHIM HARUNA GAMBO,12/11/2018,11/11/2023,3,0.63,Kaduna,Igabi,Sand
501,,29792,EL-029792,Exploration License,Released,MODEST INTERNATIONAL MINING COMPANY LIMITED,01/08/2019,31/07/2024,63,13.26,Kaduna,"Kachia, Kajuru","Amethyst,Beryl"
502,,39012,SSML-039012,Small Scale Mining Lease,Valid,MONAI SWAT INVESTMENT LTD,25/08/2022,24/08/2027,12,2.53,Kaduna,Jemaa,"Aquamarine,Emeralds,Ruby,Sapphire"
503,Jemma,39794,EL-039794,Exploration License,Valid,MINEBERG LTD,31/05/2023,30/05/2026,169,35.61,Kaduna,"Jemaa, Kaura","Lithium,Beryl"
504,JEMAA,42882,SSML-042882,Small Scale Mining Lease,Released,MONAI SWAT INVESTMENT LTD,17/03/2023,16/03/2028,15,3.16,Kaduna,Jemaa,"Aquamarine,Emeralds,Ruby,Sapphire"
505,,63182,EL-063182,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,"Jaba, Jemaa","Lithium,Tantalum,Tin,Gold"
506,Awei/Suddu/Bagaldi,39191,EL-039191,Exploration License,Valid,NULKOZ INTEGRATED NIGERIA LIMITED,27/09/2022,26/09/2025,220,46.13,Kaduna,"Kudan, Soba","Lithium,Tantalum,Aquamarine,Beryl,Tourmaline (others),Cassiterite,Emeralds"
507,ANGA,60919,SSML-060919,Small Scale Mining Lease,Valid,AWWE GEM STONES & MINING COMPANY LIMITED,26/08/2024,25/08/2029,1,0.21,Kaduna,Anga,"Tantalum,Tin,Columbite,Monazite,Zircon sand"
508,CHIKUN,40092,EL-040092,Exploration License,Valid,THREE CROWN MINES LIMITED,21/02/2023,20/02/2026,311,65.37,Kaduna,"Birnin-Gwari, Chikun","Lithium,Beryl,Tourmaline (blue),Gold"
509,ZANGON-KATAF,43476,EL-043476,Exploration License,Valid,KINGMETAL INVESTMENT INTERNATION LIMITED,17/03/2023,16/03/2026,30,6.32,Kaduna,Zangon-Kataf,"Lithium,Tantalum,Fluorspar/fluorite"
510,JEMA A,36481,SSML-036481,Small Scale Mining Lease,Valid,ECJO COMPANY LIMITED,20/01/2023,19/01/2028,15,3.16,Kaduna,Jemaa,"Mica,Lithium"
511,Jema'a,36318,EL-036318,Exploration License,Valid,KIMBERLITE EURASIA LTD,17/03/2023,16/03/2026,14,2.95,Kaduna,"Jemaa, Kaura","Lithium,Tantalum,Tin,Columbite"
512,KUBAU,57752,EL-057752,Exploration License,Released,LONG TUO INTERNATIONAL COMPANY LIMITED,25/01/2024,24/01/2027,30,6.3,Kaduna,Kubau,"Tin,Columbite,Iron"
513,,63187,EL-063187,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,29,6.11,Kaduna,"Jaba, Jemaa","Lithium,Tantalum,Tin,Gold"
514,,63185,EL-063185,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,40,8.43,Kaduna,Jemaa,"Lithium,Tantalum,Tin,Gold"
515,SANGA,63103,EL-063103,Exploration License,Valid,AMAN EXPLORATION COMPANY LIMITED,15/10/2024,14/10/2027,46,9.7,Kaduna,Anga,Lithium
516,CHIKUN,40552,EL-040552,Exploration License,Valid,AGUBUSI MINES LTD,15/12/2022,14/12/2025,80,16.83,Kaduna,Chikun,"Mica,Lithium"
517,JEMAA,55557,SSML-055557,Small Scale Mining Lease,Valid,JOHN DAVEMANN LIMITED,22/05/2024,21/05/2029,15,3.16,Kaduna,Jemaa,"Mica,Lithium,Tourmaline (blue),Gold"
518,KUBAU,61836,ML-061836,Mining Lease,Valid,LONG TUO INTERNATIONAL COMPANY LIMITED,25/07/2024,24/07/2049,30,6.3,Kaduna,Kubau,"Tin,Columbite,Iron"
519,,61880,SSML-061880,Small Scale Mining Lease,Valid,AGUBUSI MINES LTD,09/09/2024,08/11/2029,3,0.63,Kaduna,Chikun,"Mica,Lithium"
520,,63149,EL-063149,Exploration License,Valid,TIAN XING INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.09,Kaduna,"Jemaa, Anga","Lithium,Tantalum,Cassiterite,Gold"
521,,63186,EL-063186,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,90,18.97,Kaduna,Jemaa,"Lithium,Tantalum,Tin,Columbite,Gold"
522,,26421,SSML-026421,Small Scale Mining Lease,Released,KABIR ISIYAKU,07/12/2017,06/12/2022,1,0.21,Kaduna,Igabi,Sand
523,,63151,EL-063151,Exploration License,Valid,TIAN XING INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,99,20.87,Kaduna,"Jemaa, Anga","Lithium,Tantalum,Tin,Cassiterite,Gold"
524,SANGA,62966,EL-062966,Exploration License,Valid,AMAN EXPLORATION COMPANY LIMITED,15/10/2024,14/10/2027,90,18.98,Kaduna,Anga,"Lithium,Cassiterite"
525,,63150,EL-063150,Exploration License,Valid,TIAN XING INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.09,Kaduna,"Jemaa, Anga","Lithium,Tantalum,Tin,Cassiterite"
526,,63183,EL-063183,Exploration License,Valid,HUIDA INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,100,21.08,Kaduna,Jemaa,"Lithium,Tantalum,Tin,Gold"
527,CHIKUN,62162,SSML-062162,Small Scale Mining Lease,Valid,AGUBUSI MINES LTD,26/08/2024,25/08/2029,9,1.89,Kaduna,Chikun,"Mica,Lithium"
528,KAURA Kaduna,61894,SSML-061894,Small Scale Mining Lease,Valid,MALCOMINES MINOR METALS LTD,15/10/2024,14/10/2029,5,1.05,Kaduna,Kaura,"Tantalum,Tin,Cassiterite,Monazite"
529,,63156,EL-063156,Exploration License,Valid,TIAN XING INTERNATIONAL NEW ENERGY LTD,15/10/2024,14/10/2027,99,20.88,Kaduna,Anga,"Lithium,Tantalum,Columbite,Gold"
530,,59953,SSML-059953,Small Scale Mining Lease,Valid,TARDIGRADE MINERALS AND METALS LTD,15/10/2024,14/10/2029,10,2.11,Kaduna,Kachia,"Lithium,Tantalum,Ilmenite,Rutile"
531,Kaduna,61511,EL-061511,Exploration License,Valid,MYRIAD MINERALS LTD,15/10/2024,14/10/2027,75,15.8,Kaduna,"Kachia, Kagarko","Cobalt,Lithium,Nickel,Tourmaline (green)"
532,Kaduna,61507,EL-061507,Exploration License,Valid,MYRIAD MINERALS LTD,15/10/2024,14/10/2027,183,38.54,Kaduna,Zangon-Kataf,"Cobalt,Nickel,Tourmaline (green)"
533,KADUNA,61475,EL-061475,Exploration License,Valid,STALK-STOCK CONTINENTAL TRADING LIMITED,15/10/2024,14/10/2027,160,33.59,Kaduna,Birnin-Gwari,Graphite
534,,60967,SSML-060967,Small Scale Mining Lease,Valid,HARUNA ABDULLAHI,13/06/2024,12/06/2029,10,2.1,"Kaduna, Kano","Kubau, Doguwa","Sand,Iron"
535,KADUNA,61441,EL-061441,Exploration License,Valid,PARKA OIL & GAS LIMITED,09/08/2024,08/08/2027,111,23.28,"Kaduna, Katsina","Giwa, Funtua",Manganese
536,,27507,EL-027507,Exploration License,Released,OFL TEST PLANT LIMITED,08/06/2018,07/06/2023,113,23.84,"Kaduna, Nassarawa","Anga, Wamba","Tantalum,Tin,Columbite"
537,,32761,EL-032761,Exploration License,Valid,ALTIMA CONSOLIDATED LTD,09/12/2020,08/12/2025,36,7.59,"Kaduna, Nassarawa","Anga, Wamba","Cassiterite,Columbite"
538,,29719,EL-029719,Exploration License,Released,E-RESOURCES NIGERIA NEW ENERGY TECHNOLOGY LIMITED,30/07/2019,29/07/2024,509,107.38,"Kaduna, Nassarawa","Anga, Akwanga","Mica,Tin,Columbite"
539,kokona,63123,EL-063123,Exploration License,Valid,XING SHI INTERNATIONAL NEW ENERGY LTD,13/11/2024,12/11/2027,96,20.25,"Kaduna, Nassarawa","Anga, Akwanga","Lithium,Tin,Cassiterite"
540,MUYE,38879,EL-038879,Exploration License,Valid,OCEAN PROPERTIES LTD,27/08/2022,26/08/2025,300,63.17,"Kaduna, Niger","Chikun, Muya","Mica,Tantalum,Beryl,Tourmaline (blue),Baryte"
541,,34615,SSML-034615,Small Scale Mining Lease,Blocked,UNANDER NIGERIA LIMITED,31/05/2021,30/05/2026,15,3.16,"Kaduna, Niger","Chikun, Muya","Tantalum,Aquamarine,Tourmaline (green),Columbite"
542,,28593,SSML-028593,Small Scale Mining Lease,Blocked,ZUMA MINERAL DEVELOPMENT COMPANY LIMITED,09/01/2019,08/01/2024,4,0.84,"Kaduna, Niger","Chikun, Muya",Sand
543,,21986,EL-021986,Exploration License,Released,RAGI INDUSTRIES LIMITED,17/03/2016,16/03/2023,628,132.05,"Kaduna, Niger","Chikun, Shiroro","Gravel,Sand,Titanium,Columbite"
544,MARIGA,38883,EL-038883,Exploration License,Valid,OCEAN PROPERTIES LTD,27/09/2022,26/09/2025,200,42.12,"Kaduna, Niger","Chikun, Muya","Mica,Tantalum,Beryl,Tourmaline (blue),Baryte"
545,,62283,EL-062283,Exploration License,Valid,FIBE LTD,30/10/2024,29/10/2027,141,29.66,"Kaduna, Plateau","Lere, Bassa","Ilmenite,Monazite,Zircon sand"
546,RIYOM/JEMAA AND ANGA,61237,EL-061237,Exploration License,Valid,DANKAT INVESTMENTS LIMITED,25/06/2024,24/06/2027,216,45.51,"Kaduna, Plateau","Jemaa, Anga, Riyom","Cassiterite,Columbite,Monazite"
547,KADIHU MAKODA KANO,63489,QLS-063489,Quarry Lease,Valid,MOTA-ENGIL NIGERIA LTD,06/11/2024,05/11/2029,1,0.21,Kano,Makoda,Laterite
548,SHANONO,42807,EL-042807,Exploration License,Valid,BHAJIA INTERNATIONAL LIMITED,31/03/2023,30/03/2026,553,115.59,Kano,"Bagwai, Gwarzo, Shanono","Lithium,Beryl,Tourmaline (blue),Cassiterite,Columbite,Gold"
549,GEZAWA,62806,QLS-062806,Quarry Lease,Valid,HASSAN HARUNA ZAINAWA,15/10/2024,14/10/2029,1,0.21,Kano,Gezawa,Granite
550,KIRI,60680,QLS-060680,Quarry Lease,Valid,TREASURE MINING AND GEMS LIMITED,09/08/2024,08/08/2029,3,0.63,Kano,Kiri,Granite
551,GWARZO,63521,EL-063521,Exploration License,Valid,TENCENT TECHNOLOGY LIMITED,30/10/2024,29/10/2027,100,20.91,Kano,"Gwarzo, Shanono","Lithium,Tantalum,Tourmaline (others),Gold"
552,DOGUWA,61366,SSML-061366,Small Scale Mining Lease,Valid,AUWALU ILIYASU,09/08/2024,08/08/2029,4,0.84,Kano,Doguwa,"Tin,Columbite"
553,,23951,ML-023951,Mining Lease,Valid,SINOTRUST MINING ENGINEERING COMPANY LIMITED,16/12/2016,15/12/2041,6,1.25,Kano,Shanono,Gold
